time,cash,total_value,positions
2019-01-02T09:30:00.020000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.050000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.050000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.070000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.070000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.090000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.100000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.100000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.100000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.100000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.100000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.100000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.110000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.140000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.140000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.140000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.150000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.160000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.170000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.190000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.190000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.220000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.220000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.230000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.340000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.370000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.460000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.510000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.570000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.690000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.770000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.960000,1000000.00,1000000.00,{}
2019-01-02T09:30:00.990000,1000000.00,1000000.00,{}
2019-01-02T09:30:01.230000,1000000.00,1000000.00,{}
2019-01-02T09:30:01.570000,1000000.00,1000000.00,{}
2019-01-02T09:30:01.590000,1000000.00,1000000.00,{}
2019-01-02T09:30:01.860000,1000000.00,1000000.00,{}
2019-01-02T09:30:01.890000,1000000.00,1000000.00,{}
2019-01-02T09:30:01.890000,1000000.00,1000000.00,{}
2019-01-02T09:30:01.950000,1000000.00,1000000.00,{}
2019-01-02T09:30:02.080000,1000000.00,1000000.00,{}
2019-01-02T09:30:02.630000,1000000.00,1000000.00,{}
2019-01-02T09:30:02.890000,1000000.00,1000000.00,{}
2019-01-02T09:30:03.590000,1000000.00,1000000.00,{}
2019-01-02T09:30:03.850000,1000000.00,1000000.00,{}
2019-01-02T09:30:04.510000,1000000.00,1000000.00,{}
