日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
1991-04-03,000001,49.0,49.0,49.0,49.0,1,5000.0,0.0,22.5,9.0,0.0
1991-04-04,000001,48.76,48.76,48.76,48.76,3,15000.0,0.0,-0.49,-0.24,0.0
1991-04-05,000001,48.52,48.52,48.52,48.52,2,10000.0,0.0,-0.49,-0.24,0.0
1991-04-06,000001,48.28,48.28,48.28,48.28,7,34000.0,0.0,-0.49,-0.24,0.0
1991-04-08,000001,48.04,48.04,48.04,48.04,2,10000.0,0.0,-0.5,-0.24,0.0
1991-04-09,000001,47.8,47.8,47.8,47.8,4,19000.0,0.0,-0.5,-0.24,0.0
1991-04-10,000001,47.56,47.56,47.56,47.56,15,71000.0,0.0,-0.5,-0.24,0.0
1991-04-12,000001,47.08,47.08,47.08,47.08,8,38000.0,0.0,-1.01,-0.48,0.0
1991-04-13,000001,46.84,46.84,46.84,46.84,5,23000.0,0.0,-0.51,-0.24,0.0
1991-04-16,000001,46.38,46.38,46.38,46.38,2,9000.0,0.0,-0.98,-0.46,0.0
1991-04-17,000001,46.15,46.15,46.15,46.15,1,4615.0,0.0,-0.5,-0.23,0.0
1991-04-18,000001,45.92,45.92,45.92,45.92,4,18000.0,0.0,-0.5,-0.23,0.0
1991-04-19,000001,45.69,45.69,45.69,45.69,2,9000.0,0.0,-0.5,-0.23,0.0
1991-04-20,000001,45.46,45.46,45.46,45.46,5,23000.0,0.0,-0.5,-0.23,0.0
1991-04-23,000001,45.0,45.0,45.0,45.0,28,126000.0,0.0,-1.01,-0.46,0.01
1991-04-24,000001,44.78,44.78,44.78,44.78,16,72000.0,0.0,-0.49,-0.22,0.0
1991-04-25,000001,44.56,44.56,44.56,44.56,15,67000.0,0.0,-0.49,-0.22,0.0
1991-04-26,000001,44.34,44.34,44.34,44.34,8,35000.0,0.0,-0.49,-0.22,0.0
1991-04-29,000001,43.9,43.9,43.9,43.9,4,17000.0,0.0,-0.99,-0.44,0.0
1991-04-30,000001,43.68,43.68,43.68,43.68,2,9000.0,0.0,-0.5,-0.22,0.0
1991-05-02,000001,61.14,61.14,61.14,61.14,2,9000.0,0.0,39.97,17.46,0.0
1991-05-03,000001,60.84,60.84,60.84,60.84,3,13000.0,0.0,-0.49,-0.3,0.0
1991-05-04,000001,60.53,60.53,60.53,60.53,2,9000.0,0.0,-0.51,-0.31,0.0
1991-05-06,000001,60.53,60.53,60.53,60.53,9,38520.0,0.0,0.0,0.0,0.0
1991-05-07,000001,59.93,59.93,59.93,59.93,2,8518.0,0.0,-0.99,-0.6,0.0
1991-05-08,000001,59.63,59.63,59.63,59.63,109,462000.0,0.0,-0.5,-0.3,0.03
1991-05-09,000001,59.34,59.34,59.34,59.34,15,63000.0,0.0,-0.49,-0.29,0.0
1991-05-10,000001,59.04,59.04,59.04,59.04,20,84000.0,0.0,-0.51,-0.3,0.01
1991-05-11,000001,58.75,58.75,58.75,58.75,6,25000.0,0.0,-0.49,-0.29,0.0
1991-05-13,000001,58.46,58.46,58.46,58.46,19,79000.0,0.0,-0.49,-0.29,0.01
1991-05-14,000001,58.16,58.16,58.16,58.16,55,227000.0,0.0,-0.51,-0.3,0.01
1991-05-15,000001,57.87,57.87,57.87,57.87,387,1591000.0,0.0,-0.5,-0.29,0.1
1991-05-16,000001,57.57,57.57,57.57,57.57,493,2017000.0,0.0,-0.52,-0.3,0.13
1991-05-17,000001,57.29,57.29,57.29,57.29,419,1706000.0,0.0,-0.49,-0.28,0.11
1991-05-18,000001,57.01,57.01,57.01,57.01,110,446000.0,0.0,-0.49,-0.28,0.03
1991-05-20,000001,56.73,56.73,56.73,56.73,51,205000.0,0.0,-0.49,-0.28,0.01
1991-05-21,000001,56.45,56.45,56.45,56.45,63,253000.0,0.0,-0.49,-0.28,0.02
1991-05-22,000001,56.17,56.17,56.17,56.17,43,171000.0,0.0,-0.5,-0.28,0.01
1991-05-23,000001,55.89,55.89,55.89,55.89,17,67000.0,0.0,-0.5,-0.28,0.0
1991-05-24,000001,55.61,55.61,55.61,55.61,3,12000.0,0.0,-0.5,-0.28,0.0
1991-05-27,000001,55.05,55.05,55.05,55.05,5,19000.0,0.0,-1.01,-0.56,0.0
1991-05-28,000001,54.77,54.77,54.77,54.77,3,12000.0,0.0,-0.51,-0.28,0.0
1991-05-29,000001,54.51,54.51,54.51,54.51,36,139000.0,0.0,-0.47,-0.26,0.01
1991-05-30,000001,54.24,54.24,54.24,54.24,14,54000.0,0.0,-0.5,-0.27,0.0
1991-05-31,000001,53.98,53.98,53.98,53.98,1,4000.0,0.0,-0.48,-0.26,0.0
1991-06-01,000001,54.24,54.24,54.24,54.24,10,38000.0,0.0,0.48,0.26,0.0
1991-06-03,000001,53.44,53.44,53.44,53.44,7,26000.0,0.0,-1.47,-0.8,0.0
1991-06-04,000001,53.18,53.18,53.18,53.18,1,3777.0,0.0,-0.49,-0.26,0.0
1991-06-06,000001,52.65,52.65,52.65,52.65,4,15000.0,0.0,-1.0,-0.53,0.0
1991-06-07,000001,52.38,52.38,52.38,52.38,1,3720.0,0.0,-0.51,-0.27,0.0
1991-06-08,000001,52.11,52.11,52.11,52.11,6,22000.0,0.0,-0.52,-0.27,0.0
1991-06-10,000001,51.85,51.85,51.85,51.85,15,55000.0,0.0,-0.5,-0.26,0.0
1991-06-11,000001,51.6,51.6,51.6,51.6,12,44000.0,0.0,-0.48,-0.25,0.0
1991-06-12,000001,51.34,51.34,51.34,51.34,15,55000.0,0.0,-0.5,-0.26,0.0
1991-06-13,000001,51.09,51.09,51.09,51.09,34,123000.0,0.0,-0.49,-0.25,0.01
1991-06-14,000001,50.84,50.84,50.84,50.84,7,25000.0,0.0,-0.49,-0.25,0.0
1991-06-15,000001,50.59,50.59,50.59,50.59,27,97000.0,0.0,-0.49,-0.25,0.01
1991-06-17,000001,50.34,50.34,50.34,50.34,5,18000.0,0.0,-0.49,-0.25,0.0
1991-06-18,000001,50.08,50.08,50.08,50.08,10,35000.0,0.0,-0.52,-0.26,0.0
1991-06-19,000001,49.83,49.83,49.83,49.83,57,202000.0,0.0,-0.5,-0.25,0.02
1991-06-20,000001,49.58,49.58,49.58,49.58,30,105000.0,0.0,-0.5,-0.25,0.01
1991-06-21,000001,49.33,49.33,49.33,49.33,2,7000.0,0.0,-0.5,-0.25,0.0
1991-06-22,000001,49.08,49.08,49.08,49.08,16,56000.0,0.0,-0.51,-0.25,0.0
1991-06-24,000001,48.84,48.84,48.84,48.84,25,87000.0,0.0,-0.49,-0.24,0.01
1991-06-25,000001,48.6,48.6,48.6,48.6,12,41000.0,0.0,-0.49,-0.24,0.0
1991-06-26,000001,48.36,48.36,48.36,48.36,4,14000.0,0.0,-0.49,-0.24,0.0
1991-06-27,000001,48.12,48.12,48.12,48.12,4,14000.0,0.0,-0.5,-0.24,0.0
1991-06-28,000001,47.89,47.89,47.89,47.89,2,7000.0,0.0,-0.48,-0.23,0.0
1991-07-01,000001,47.41,47.41,47.41,47.41,2,7000.0,0.0,-1.0,-0.48,0.0
1991-07-02,000001,47.17,47.17,47.17,47.17,2,7000.0,0.0,-0.51,-0.24,0.0
1991-07-04,000001,46.7,46.7,46.7,46.7,11,36000.0,0.0,-1.0,-0.47,0.0
1991-07-05,000001,46.46,46.46,46.46,46.46,2,6594.0,0.0,-0.51,-0.24,0.0
1991-07-06,000001,46.23,46.23,46.23,46.23,1,3000.0,0.0,-0.5,-0.23,0.0
1991-07-08,000001,46.01,46.01,46.01,46.01,9,29000.0,0.0,-0.48,-0.22,0.0
1991-07-10,000001,45.56,45.56,45.56,45.56,6,19000.0,0.0,-0.98,-0.45,0.0
1991-07-11,000001,45.34,45.34,45.34,45.34,1,3217.0,0.0,-0.48,-0.22,0.0
1991-07-15,000001,44.67,44.67,44.67,44.67,4,13000.0,0.0,-1.48,-0.67,0.0
1991-07-19,000001,43.77,43.77,43.77,43.77,1,3000.0,0.0,-2.01,-0.9,0.0
1991-07-20,000001,43.55,43.55,43.55,43.55,2,6000.0,0.0,-0.5,-0.22,0.0
1991-07-24,000001,42.92,42.92,42.92,42.92,2,6000.0,0.0,-1.45,-0.63,0.0
1991-07-26,000001,42.5,42.5,42.5,42.5,3,9000.0,0.0,-0.98,-0.42,0.0
1991-07-29,000001,42.08,42.08,42.08,42.08,7,21000.0,0.0,-0.99,-0.42,0.0
1991-07-30,000001,41.87,41.87,41.87,41.87,7,21000.0,0.0,-0.5,-0.21,0.0
1991-07-31,000001,41.66,41.66,41.66,41.66,1,3000.0,0.0,-0.5,-0.21,0.0
1991-08-01,000001,41.45,41.45,41.45,41.45,7,20000.0,0.0,-0.5,-0.21,0.0
1991-08-02,000001,41.24,41.24,41.24,41.24,1,3000.0,0.0,-0.51,-0.21,0.0
1991-08-17,000001,21.3,22.42,22.42,20.95,328,499000.0,3.56,-45.64,-18.82,0.07
1991-08-19,000001,22.7,23.12,23.12,22.42,3100,4983000.0,3.12,3.12,0.7,0.64
1991-08-20,000001,23.12,22.35,23.12,22.28,1969,3135000.0,3.63,-3.33,-0.77,0.41
1991-08-21,000001,22.35,22.07,22.35,21.72,3431,5300000.0,2.82,-1.25,-0.28,0.71
1991-08-22,000001,22.07,21.16,22.07,21.16,2841,4298000.0,4.12,-4.12,-0.91,0.59
1991-08-23,000001,21.16,21.3,21.51,20.32,4381,6405000.0,5.62,0.66,0.14,0.91
1991-08-24,000001,21.3,22.14,22.42,21.3,3330,5167000.0,5.26,3.94,0.84,0.69
1991-08-26,000001,22.14,21.86,22.14,21.72,2772,4267000.0,1.9,-1.26,-0.28,0.57
1991-08-27,000001,21.79,21.58,21.86,21.44,2085,3177000.0,1.92,-1.28,-0.28,0.43
1991-08-28,000001,21.65,21.44,21.65,21.3,2439,3688000.0,1.62,-0.65,-0.14,0.51
1991-08-29,000001,21.37,21.44,21.51,21.3,2296,3455000.0,0.98,0.0,0.0,0.48
1991-08-30,000001,21.3,21.37,21.44,21.3,2251,3379000.0,0.65,-0.33,-0.07,0.47
1991-08-31,000001,21.37,21.3,21.37,21.09,1200,1798000.0,1.31,-0.33,-0.07,0.25
1991-09-02,000001,21.3,21.3,21.3,20.81,2316,3440000.0,2.3,0.0,0.0,0.48
1991-09-03,000001,21.3,21.3,21.3,20.88,2874,4271000.0,1.97,0.0,0.0,0.6
1991-09-04,000001,21.02,21.09,21.09,20.88,1604,2367000.0,0.99,-0.99,-0.21,0.33
1991-09-05,000001,20.88,20.74,20.88,20.32,4840,7030000.0,2.66,-1.66,-0.35,1.0
1991-09-06,000001,20.32,19.48,20.32,19.2,3267,4506000.0,5.4,-6.08,-1.26,0.68
1991-09-07,000001,19.48,19.69,19.69,19.06,3641,4970000.0,3.23,1.08,0.21,0.75
1991-09-09,000001,19.48,19.76,19.76,19.48,6297,8653000.0,1.42,0.36,0.07,1.31
1991-09-10,000001,19.48,19.83,19.83,19.48,4235,5856000.0,1.77,0.35,0.07,0.88
1991-09-11,000001,19.69,20.46,20.46,19.69,4528,6351000.0,3.88,3.18,0.63,0.94
1991-09-12,000001,20.39,20.53,20.6,20.32,3524,5086000.0,1.37,0.34,0.07,0.73
1991-09-13,000001,20.46,20.6,20.6,20.32,7525,10822000.0,1.36,0.34,0.07,1.56
1991-09-14,000001,20.46,20.53,20.53,20.39,3563,5124000.0,0.68,-0.34,-0.07,0.74
1991-09-16,000001,20.32,20.32,20.39,20.04,2240,3186000.0,1.7,-1.02,-0.21,0.46
1991-09-17,000001,20.18,20.25,20.25,20.04,3009,4265000.0,1.03,-0.34,-0.07,0.62
1991-09-18,000001,20.04,20.18,20.18,19.9,2620,3696000.0,1.38,-0.35,-0.07,0.54
1991-09-19,000001,20.04,20.11,20.11,19.9,3475,4890000.0,1.04,-0.35,-0.07,0.72
1991-09-20,000001,19.97,20.04,20.04,19.97,2340,3288000.0,0.35,-0.35,-0.07,0.49
1991-09-21,000001,19.97,20.04,20.04,19.97,1978,2780000.0,0.35,0.0,0.0,0.41
1991-09-23,000001,19.97,20.04,20.04,19.97,2078,2922000.0,0.35,0.0,0.0,0.43
1991-09-24,000001,19.97,20.04,20.04,19.97,1402,1973000.0,0.35,0.0,0.0,0.29
1991-09-25,000001,19.97,20.18,20.18,19.97,1770,2491000.0,1.05,0.7,0.14,0.37
1991-09-26,000001,20.04,20.32,20.32,20.04,717,1018000.0,1.39,0.69,0.14,0.15
1991-09-27,000001,20.32,20.6,20.74,20.32,1476,2140000.0,2.07,1.38,0.28,0.31
1991-09-28,000001,20.6,20.6,20.74,20.6,1086,1582000.0,0.68,0.0,0.0,0.23
1991-09-29,000001,20.67,20.74,20.81,20.6,930,1355000.0,1.02,0.68,0.14,0.19
1991-10-03,000001,20.81,22.35,22.84,20.81,1809,2804000.0,9.79,7.76,1.61,0.38
1991-10-04,000001,22.49,22.14,22.49,21.79,3931,6113000.0,3.13,-0.94,-0.21,0.82
1991-10-05,000001,22.07,22.56,22.7,21.93,2088,3260000.0,3.48,1.9,0.42,0.43
1991-10-07,000001,22.7,24.45,24.52,22.7,4083,6864000.0,8.07,8.38,1.89,0.85
1991-10-08,000001,26.48,30.26,30.26,26.34,6514,13028000.0,16.03,23.76,5.81,1.35
1991-10-09,000001,30.4,36.63,37.05,30.4,6476,16554000.0,21.98,21.05,6.37,1.34
1991-10-10,000001,36.7,31.1,39.29,29.07,6109,15418000.0,27.9,-15.1,-5.53,1.27
1991-10-11,000001,30.82,33.9,33.9,25.43,8566,18110000.0,27.23,9.0,2.8,1.78
1991-10-12,000001,33.9,34.32,34.81,33.9,3338,8151000.0,2.68,1.24,0.42,0.69
1991-10-14,000001,34.46,34.95,35.44,34.39,6485,16122000.0,3.06,1.84,0.63,1.34
1991-10-15,000001,34.88,32.92,34.88,32.5,3610,8593000.0,6.81,-5.81,-2.03,0.75
1991-10-16,000001,32.92,32.5,32.92,31.24,3914,8909000.0,5.1,-1.28,-0.42,0.81
1991-10-17,000001,32.5,34.32,34.32,32.5,4202,9842000.0,5.6,5.6,1.82,0.87
1991-10-18,000001,34.39,34.11,35.16,33.9,4856,11884000.0,3.67,-0.61,-0.21,1.01
1991-10-19,000001,33.97,33.9,34.04,33.62,1813,4340000.0,1.23,-0.62,-0.21,0.38
1991-10-21,000001,33.9,33.76,34.46,33.69,3557,8582000.0,2.27,-0.41,-0.14,0.74
1991-10-22,000001,33.9,33.2,33.9,32.99,3335,7887000.0,2.7,-1.66,-0.56,0.69
1991-10-23,000001,33.2,33.69,33.76,32.85,3233,7586000.0,2.74,1.48,0.49,0.67
1991-10-24,000001,33.76,33.9,34.32,33.62,3928,9424000.0,2.08,0.62,0.21,0.81
1991-10-25,000001,33.9,33.9,33.9,33.69,3579,8571000.0,0.62,0.0,0.0,0.74
1991-10-26,000001,33.83,33.83,33.9,33.76,2794,6689000.0,0.41,-0.21,-0.07,0.58
1991-10-28,000001,33.9,35.16,35.3,33.83,4554,11124000.0,4.35,3.93,1.33,0.94
1991-10-29,000001,35.3,36.21,36.84,35.3,4894,12601000.0,4.38,2.99,1.05,1.01
1991-10-30,000001,36.14,36.35,36.7,36.0,3787,9733000.0,1.93,0.39,0.14,0.79
1991-10-31,000001,36.28,37.96,38.24,36.28,4457,11686000.0,5.39,4.43,1.61,0.92
1991-11-01,000001,38.1,40.55,41.6,38.1,5810,16538000.0,9.22,6.82,2.59,1.2
1991-11-02,000001,40.62,40.76,41.18,40.34,3208,9272000.0,2.07,0.52,0.21,0.67
1991-11-04,000001,40.9,44.47,44.61,40.83,6774,20534000.0,9.27,9.1,3.71,1.4
1991-11-05,000001,44.54,44.26,45.94,44.26,9460,30561000.0,3.78,-0.47,-0.21,1.96
1991-11-06,000001,44.26,42.16,44.4,40.9,6239,18555000.0,7.91,-4.74,-2.1,1.29
1991-11-07,000001,42.37,42.58,44.4,42.3,7672,23581000.0,4.98,1.0,0.42,1.59
1991-11-08,000001,42.72,43.0,43.14,41.88,5690,17083000.0,2.96,0.99,0.42,1.18
1991-11-09,000001,43.0,45.52,45.66,43.0,4982,15639000.0,6.19,5.86,2.52,1.03
1991-11-12,000001,45.8,50.49,50.56,45.8,6237,21809000.0,10.46,10.92,4.97,1.29
1991-11-13,000001,50.56,51.33,51.96,50.56,7705,28174000.0,2.77,1.66,0.84,1.6
1991-11-14,000001,51.47,51.47,52.38,51.26,4583,16868905.0,2.18,0.27,0.14,0.95
1991-11-15,000001,51.33,50.28,52.38,50.21,6684,24561000.0,4.22,-2.31,-1.19,1.39
