File: /Users/mythezone/miniconda3/envs/simlob312/lib/python3.12/site-packages/rich/__init__.py
  Line 31: executed 4 times, time 0.00000072 sec
  Line 32: executed 1 times, time 0.00000000 sec
  Line 34: executed 1 times, time 0.00000000 sec
  Line 36: executed 4 times, time 0.00000000 sec
  Line 71: executed 4 times, time 0.00000000 sec
  Line 73: executed 4 times, time 0.00000000 sec
  Line 74: executed 4 times, time 0.00000000 sec

File: <frozen importlib._bootstrap>
  Line 49: executed 666 times, time 0.00002193 sec
  Line 75: executed 1690 times, time 0.00005507 sec
  Line 76: executed 1690 times, time 0.00006056 sec
  Line 77: executed 1690 times, time 0.00005603 sec
  Line 80: executed 1690 times, time 0.00005174 sec
  Line 86: executed 1690 times, time 0.00006151 sec
  Line 87: executed 1690 times, time 0.00005364 sec
  Line 88: executed 1690 times, time 0.00004721 sec
  Line 91: executed 1690 times, time 0.00005507 sec
  Line 125: executed 1690 times, time 0.00004721 sec
  Line 126: executed 1690 times, time 0.00003743 sec
  Line 127: executed 1690 times, time 0.00004148 sec
  Line 128: executed 1690 times, time 0.00005293 sec
  Line 129: executed 1690 times, time 0.00005031 sec
  Line 130: executed 1690 times, time 0.00004292 sec
  Line 132: executed 1690 times, time 0.00005126 sec
  Line 133: executed 1690 times, time 0.00004721 sec
  Line 159: executed 1690 times, time 0.00004363 sec
  Line 160: executed 1690 times, time 0.00005198 sec
  Line 170: executed 1690 times, time 0.00005484 sec
  Line 171: executed 1690 times, time 0.00008059 sec
  Line 175: executed 1690 times, time 0.00004101 sec
  Line 253: executed 810 times, time 0.00002599 sec
  Line 254: executed 810 times, time 0.00002146 sec
  Line 257: executed 810 times, time 0.00002313 sec
  Line 261: executed 810 times, time 0.00001955 sec
  Line 272: executed 810 times, time 0.00001693 sec
  Line 286: executed 810 times, time 0.00002241 sec
  Line 310: executed 1690 times, time 0.00004697 sec
  Line 311: executed 3380 times, time 0.00011182 sec
  Line 312: executed 1690 times, time 0.00005245 sec
  Line 316: executed 3380 times, time 0.00011563 sec
  Line 317: executed 1690 times, time 0.00005889 sec
  Line 324: executed 1690 times, time 0.00006342 sec
  Line 325: executed 1690 times, time 0.00003886 sec
  Line 326: executed 1690 times, time 0.00006580 sec
  Line 373: executed 1690 times, time 0.00004721 sec
  Line 374: executed 3380 times, time 0.00010490 sec
  Line 375: executed 1690 times, time 0.00004363 sec
  Line 377: executed 1690 times, time 0.00006366 sec
  Line 378: executed 1690 times, time 0.00006104 sec
  Line 379: executed 1690 times, time 0.00005007 sec
  Line 380: executed 810 times, time 0.00001955 sec
  Line 381: executed 810 times, time 0.00002408 sec
  Line 413: executed 817 times, time 0.00002122 sec
  Line 414: executed 817 times, time 0.00003219 sec
  Line 417: executed 817 times, time 0.00002193 sec
  Line 418: executed 817 times, time 0.00002241 sec
  Line 421: executed 817 times, time 0.00002027 sec
  Line 432: executed 1690 times, time 0.00006461 sec
  Line 433: executed 1690 times, time 0.00005627 sec
  Line 434: executed 1690 times, time 0.00006080 sec
  Line 435: executed 1690 times, time 0.00003910 sec
  Line 436: executed 810 times, time 0.00003481 sec
  Line 437: executed 810 times, time 0.00001669 sec
  Line 439: executed 1690 times, time 0.00006223 sec
  Line 440: executed 810 times, time 0.00002623 sec
  Line 443: executed 810 times, time 0.00002575 sec
  Line 445: executed 810 times, time 0.00002408 sec
  Line 446: executed 810 times, time 0.00002623 sec
  Line 447: executed 810 times, time 0.00002599 sec
  Line 451: executed 810 times, time 0.00002003 sec
  Line 452: executed 810 times, time 0.00001836 sec
  Line 454: executed 810 times, time 0.00002503 sec
  Line 456: executed 810 times, time 0.00001907 sec
  Line 458: executed 1690 times, time 0.00005817 sec
  Line 460: executed 1690 times, time 0.00006747 sec
  Line 469: executed 873 times, time 0.00002408 sec
  Line 470: executed 873 times, time 0.00002480 sec
  Line 471: executed 873 times, time 0.00002503 sec
  Line 477: executed 873 times, time 0.00002074 sec
  Line 488: executed 1931 times, time 0.00005603 sec
  Line 493: executed 6273 times, time 0.00018787 sec
  Line 502: executed 2 times, time 0.00000000 sec
  Line 505: executed 2 times, time 0.00000000 sec
  Line 601: executed 817 times, time 0.00002742 sec
  Line 602: executed 817 times, time 0.00002503 sec
  Line 603: executed 817 times, time 0.00002027 sec
  Line 604: executed 817 times, time 0.00001884 sec
  Line 605: executed 817 times, time 0.00002027 sec
  Line 606: executed 817 times, time 0.00002670 sec
  Line 609: executed 817 times, time 0.00001621 sec
  Line 610: executed 817 times, time 0.00002742 sec
  Line 634: executed 1437 times, time 0.00004339 sec
  Line 635: executed 777 times, time 0.00002527 sec
  Line 636: executed 777 times, time 0.00002861 sec
  Line 638: executed 777 times, time 0.00003076 sec
  Line 639: executed 1437 times, time 0.00003171 sec
  Line 648: executed 1481 times, time 0.00003600 sec
  Line 649: executed 1096 times, time 0.00003433 sec
  Line 651: executed 385 times, time 0.00001454 sec
  Line 655: executed 786 times, time 0.00001955 sec
  Line 664: executed 4 times, time 0.00000000 sec
  Line 665: executed 1 times, time 0.00000000 sec
  Line 667: executed 4 times, time 0.00000000 sec
  Line 678: executed 4 times, time 0.00000000 sec
  Line 679: executed 3 times, time 0.00000000 sec
  Line 680: executed 3 times, time 0.00000000 sec
  Line 681: executed 3 times, time 0.00000000 sec
  Line 688: executed 4 times, time 0.00000000 sec
  Line 737: executed 786 times, time 0.00002241 sec
  Line 743: executed 786 times, time 0.00002122 sec
  Line 744: executed 710 times, time 0.00002170 sec
  Line 745: executed 710 times, time 0.00002122 sec
  Line 747: executed 5 times, time 0.00000000 sec
  Line 748: executed 5 times, time 0.00000000 sec
  Line 750: executed 5 times, time 0.00000000 sec
  Line 752: executed 5 times, time 0.00000000 sec
  Line 753: executed 5 times, time 0.00000095 sec
  Line 754: executed 5 times, time 0.00000000 sec
  Line 765: executed 5 times, time 0.00000000 sec
  Line 766: executed 710 times, time 0.00002384 sec
  Line 767: executed 710 times, time 0.00002003 sec
  Line 771: executed 786 times, time 0.00002289 sec
  Line 772: executed 711 times, time 0.00002360 sec
  Line 773: executed 711 times, time 0.00001359 sec
  Line 777: executed 786 times, time 0.00002122 sec
  Line 778: executed 786 times, time 0.00002217 sec
  Line 782: executed 786 times, time 0.00002241 sec
  Line 783: executed 785 times, time 0.00002551 sec
  Line 785: executed 109 times, time 0.00000405 sec
  Line 786: executed 109 times, time 0.00000381 sec
  Line 790: executed 786 times, time 0.00002551 sec
  Line 791: executed 777 times, time 0.00002408 sec
  Line 792: executed 680 times, time 0.00001574 sec
  Line 793: executed 680 times, time 0.00001574 sec
  Line 797: executed 777 times, time 0.00002003 sec
  Line 798: executed 777 times, time 0.00002027 sec
  Line 799: executed 660 times, time 0.00001907 sec
  Line 800: executed 660 times, time 0.00002599 sec
  Line 803: executed 786 times, time 0.00001812 sec
  Line 809: executed 786 times, time 0.00002956 sec
  Line 810: executed 786 times, time 0.00001884 sec
  Line 813: executed 781 times, time 0.00001979 sec
